Location;Color;Quantity in Pounds at Classifier;Size;Flavor;Quantity in Pounds At Pre-finish Operations;Packaging Type;Quantity in Pounds At Pack Operations
Detroit;Coloring Agent12;299964;S3;F5;2964;Box;1328
Detroit;Coloring Agent12;299964;S3;F6;4100;Bag;2728
Detroit;Coloring Agent12;299964;S3;F6;4100;Box;1372
Detroit;Coloring Agent12;299964;S3;F7;11876;Bag;11876
Detroit;Coloring Agent12;299964;S3;F8;18108;Bag;16658
Detroit;Coloring Agent12;299964;S3;F8;18108;Box;1450
Detroit;Coloring Agent12;299964;S3;F9;3365;Bag;2033
Detroit;Coloring Agent12;299964;S3;F9;3365;Box;1332
Detroit;Coloring Agent12;299964;S4;F1;11840;Bag;9902
Detroit;Coloring Agent12;299964;S4;F1;11840;Box;1938
Detroit;Coloring Agent12;299964;S4;F10;3432;Box;3432
Detroit;Coloring Agent12;299964;S4;F12;1961;Bag;1961
Detroit;Coloring Agent12;299964;S4;F2;1632;Bag;1632
Detroit;Coloring Agent12;299964;S4;F3;1548;Box;1548
Detroit;Coloring Agent12;299964;S4;F4;5276;Bag;3451
Detroit;Coloring Agent12;299964;S4;F4;5276;Box;1825
Detroit;Coloring Agent12;299964;S4;F5;2722;Box;2722
Detroit;Coloring Agent12;299964;S4;F6;20434;Bag;17620
Detroit;Coloring Agent12;299964;S4;F6;20434;Box;2814
Detroit;Coloring Agent12;299964;S4;F7;19428;Bag;19428
Detroit;Coloring Agent12;299964;S4;F8;29504;Bag;29504
Detroit;Coloring Agent12;299964;S4;F9;1213;Bag;1213
Detroit;Coloring Agent12;299964;S5;F1;5253;Bag;5253
Detroit;Coloring Agent12;299964;S5;F10;1644;Bag;1644
Detroit;Coloring Agent12;299964;S5;F11;1420;Box;1420
Detroit;Coloring Agent12;299964;S5;F3;3090;Bag;1845
Detroit;Coloring Agent12;299964;S5;F3;3090;Box;1245
Detroit;Coloring Agent12;299964;S5;F4;4432;Box;4432
Detroit;Coloring Agent12;299964;S5;F5;1355;Bag;1355
Detroit;Coloring Agent12;299964;S5;F6;4333;Bag;3005
Detroit;Coloring Agent12;299964;S5;F6;4333;Box;1328
Detroit;Coloring Agent12;299964;S5;F7;5958;Bag;4636
Detroit;Coloring Agent12;299964;S5;F7;5958;Box;1322
Detroit;Coloring Agent12;299964;S5;F8;6991;Bag;4039
Detroit;Coloring Agent12;299964;S5;F8;6991;Box;2952
Detroit;Coloring Agent12;299964;S5;F9;1523;Bag;1523
Detroit;Coloring Agent13;301035;S1;F1;9582;Bag;6974
Detroit;Coloring Agent13;301035;S1;F1;9582;Box;2608
Detroit;Coloring Agent13;301035;S1;F10;2689;Bag;2689
Detroit;Coloring Agent13;301035;S1;F11;1388;Box;1388
Detroit;Coloring Agent13;301035;S1;F12;2983;Bag;1573
Detroit;Coloring Agent13;301035;S1;F12;2983;Box;1410
Detroit;Coloring Agent13;301035;S1;F2;5212;Bag;3987
Detroit;Coloring Agent13;301035;S1;F2;5212;Box;1225
Detroit;Coloring Agent13;301035;S1;F3;8179;Bag;7009
Detroit;Coloring Agent13;301035;S1;F3;8179;Box;1170
Detroit;Coloring Agent13;301035;S1;F5;11982;Bag;11982
Detroit;Coloring Agent13;301035;S1;F6;6632;Bag;3637
Detroit;Coloring Agent13;301035;S1;F6;6632;Box;2995
Detroit;Coloring Agent13;301035;S1;F7;7643;Bag;6483
Detroit;Coloring Agent13;301035;S1;F7;7643;Box;1160
Detroit;Coloring Agent13;301035;S1;F8;8250;Bag;8250
Detroit;Coloring Agent13;301035;S1;F9;7446;Bag;6141
Detroit;Coloring Agent13;301035;S1;F9;7446;Box;1305
Detroit;Coloring Agent13;301035;S2;F1;1684;Bag;1684
Detroit;Coloring Agent13;301035;S2;F10;1596;Bag;1596
Detroit;Coloring Agent13;301035;S2;F11;7015;Bag;3815
Detroit;Coloring Agent13;301035;S2;F11;7015;Box;3200
Detroit;Coloring Agent13;301035;S2;F12;4698;Bag;3118
Detroit;Coloring Agent13;301035;S2;F12;4698;Box;1580
Detroit;Coloring Agent13;301035;S2;F2;4697;Bag;1942
Detroit;Coloring Agent13;301035;S2;F2;4697;Box;2755
Detroit;Coloring Agent13;301035;S2;F3;1445;Box;1445
Detroit;Coloring Agent13;301035;S2;F4;3335;Box;3335
Detroit;Coloring Agent13;301035;S2;F5;6459;Bag;6459
Detroit;Coloring Agent13;301035;S2;F7;3205;Bag;370
Detroit;Coloring Agent13;301035;S2;F7;3205;Box;2835
Detroit;Coloring Agent13;301035;S2;F8;8731;Bag;7261
Detroit;Coloring Agent13;301035;S2;F8;8731;Box;1470
Detroit;Coloring Agent13;301035;S2;F9;8122;Bag;5228
Detroit;Coloring Agent13;301035;S2;F9;8122;Box;2894
Detroit;Coloring Agent13;301035;S3;F1;7482;Bag;7482
Detroit;Coloring Agent13;301035;S3;F10;2752;Bag;2752
Detroit;Coloring Agent13;301035;S3;F11;2610;Bag;2610
Detroit;Coloring Agent13;301035;S3;F12;2218;Bag;878
Detroit;Coloring Agent13;301035;S3;F12;2218;Box;1340
Detroit;Coloring Agent13;301035;S3;F2;3262;Bag;3262
Detroit;Coloring Agent13;301035;S3;F3;5062;Bag;5062
Detroit;Coloring Agent13;301035;S3;F4;3551;Bag;1696
Detroit;Coloring Agent13;301035;S3;F4;3551;Box;1855
Detroit;Coloring Agent13;301035;S3;F5;3203;Bag;3203
Detroit;Coloring Agent13;301035;S3;F6;1772;Bag;1772
Detroit;Coloring Agent13;301035;S3;F7;1250;Bag;1250
Detroit;Coloring Agent13;301035;S3;F8;5607;Bag;4135
Detroit;Coloring Agent13;301035;S3;F8;5607;Box;1472
Detroit;Coloring Agent13;301035;S3;F9;9217;Bag;9217
Detroit;Coloring Agent13;301035;S4;F1;12328;Bag;12328
Detroit;Coloring Agent13;301035;S4;F10;4527;Bag;2855
Detroit;Coloring Agent13;301035;S4;F10;4527;Box;1672
Detroit;Coloring Agent13;301035;S4;F11;4143;Bag;1500
Detroit;Coloring Agent13;301035;S4;F11;4143;Box;2643
Detroit;Coloring Agent13;301035;S4;F12;1849;Bag;1849
Detroit;Coloring Agent13;301035;S4;F2;1846;Bag;1846
Detroit;Coloring Agent13;301035;S4;F3;11695;Bag;11695
Detroit;Coloring Agent13;301035;S4;F4;5384;Bag;2679
Detroit;Coloring Agent13;301035;S4;F4;5384;Box;2705
Detroit;Coloring Agent13;301035;S4;F5;15099;Bag;15099
Detroit;Coloring Agent13;301035;S4;F6;2802;Bag;2802
Detroit;Coloring Agent13;301035;S4;F7;12333;Bag;12333
Detroit;Coloring Agent13;301035;S4;F8;12683;Bag;10868
Detroit;Coloring Agent13;301035;S4;F8;12683;Box;1815
Detroit;Coloring Agent13;301035;S4;F9;11299;Bag;10687
Detroit;Coloring Agent13;301035;S4;F9;11299;Box;612
Detroit;Coloring Agent13;301035;S5;F1;4188;Bag;4188
Detroit;Coloring Agent13;301035;S5;F10;1929;Bag;1929
Detroit;Coloring Agent13;301035;S5;F11;4795;Bag;4795
Detroit;Coloring Agent13;301035;S5;F12;2384;Bag;2384
Detroit;Coloring Agent13;301035;S5;F2;1599;Bag;1599
Detroit;Coloring Agent13;301035;S5;F3;5041;Bag;5041
Detroit;Coloring Agent13;301035;S5;F4;1759;Bag;1759
Detroit;Coloring Agent13;301035;S5;F5;3604;Bag;1992
Detroit;Coloring Agent13;301035;S5;F5;3604;Box;1612
Detroit;Coloring Agent13;301035;S5;F6;1099;Bag;1099
Detroit;Coloring Agent13;301035;S5;F7;3184;Bag;3184
Detroit;Coloring Agent13;301035;S5;F8;1095;Bag;1095
Detroit;Coloring Agent13;301035;S5;F9;3411;Bag;1691
Detroit;Coloring Agent13;301035;S5;F9;3411;Box;1720
Detroit;Coloring Agent14;211597;S1;F1;10017;Bag;10017
Detroit;Coloring Agent14;211597;S1;F10;3485;Bag;1685
Detroit;Coloring Agent14;211597;S1;F10;3485;Box;1800
Detroit;Coloring Agent14;211597;S1;F11;3067;Bag;3067
Detroit;Coloring Agent14;211597;S1;F12;3412;Bag;3412
Detroit;Coloring Agent14;211597;S1;F2;1552;Box;1552
Detroit;Coloring Agent14;211597;S1;F3;5615;Bag;3820
Detroit;Coloring Agent14;211597;S1;F3;5615;Box;1795
Detroit;Coloring Agent14;211597;S1;F4;1029;Bag;1029
Detroit;Coloring Agent14;211597;S1;F5;10133;Bag;10133
Detroit;Coloring Agent14;211597;S1;F6;4145;Bag;4145
Detroit;Coloring Agent14;211597;S1;F7;1696;Bag;1696
Detroit;Coloring Agent14;211597;S1;F8;5997;Bag;5997
Detroit;Coloring Agent14;211597;S2;F1;15387;Bag;15387
Detroit;Coloring Agent14;211597;S2;F10;3011;Bag;1721
Detroit;Coloring Agent14;211597;S2;F10;3011;Box;1290
Detroit;Coloring Agent14;211597;S2;F11;9213;Bag;9213
Detroit;Coloring Agent14;211597;S2;F12;3426;Bag;3326
Detroit;Coloring Agent14;211597;S2;F12;3426;Box;100
Detroit;Coloring Agent14;211597;S2;F2;3074;Bag;3074
Detroit;Coloring Agent14;211597;S2;F3;8008;Bag;8008
Detroit;Coloring Agent14;211597;S2;F5;16890;Bag;16890
Detroit;Coloring Agent14;211597;S2;F6;6909;Bag;6909
Detroit;Coloring Agent14;211597;S2;F7;3325;Bag;3325
Detroit;Coloring Agent14;211597;S2;F8;10887;Bag;10887
Detroit;Coloring Agent14;211597;S2;F9;3455;Bag;1755
Detroit;Coloring Agent14;211597;S2;F9;3455;Box;1700
Detroit;Coloring Agent14;211597;S3;F1;8464;Bag;8464
Detroit;Coloring Agent14;211597;S3;F10;1484;Bag;1484
Detroit;Coloring Agent14;211597;S3;F12;1131;Bag;1131
Detroit;Coloring Agent14;211597;S3;F2;4975;Bag;1698
Detroit;Coloring Agent14;211597;S3;F2;4975;Box;3277
Detroit;Coloring Agent14;211597;S3;F3;3075;Bag;1523
Detroit;Coloring Agent14;211597;S3;F3;3075;Box;1552
Detroit;Coloring Agent14;211597;S3;F4;2572;Bag;1716
Detroit;Coloring Agent14;211597;S3;F4;2572;Box;856
Detroit;Coloring Agent14;211597;S3;F6;1678;Bag;1678
Detroit;Coloring Agent14;211597;S3;F7;1569;Bag;1569
Detroit;Coloring Agent14;211597;S3;F8;1392;Bag;1392
Detroit;Coloring Agent14;211597;S4;F1;10267;Bag;10267
Detroit;Coloring Agent14;211597;S4;F10;3124;Bag;3124
Detroit;Coloring Agent14;211597;S4;F12;4401;Bag;4401
Detroit;Coloring Agent14;211597;S4;F2;1485;Box;1485
Detroit;Coloring Agent14;211597;S4;F4;870;Box;870
Detroit;Coloring Agent14;211597;S4;F5;2193;Bag;2193
Detroit;Coloring Agent14;211597;S4;F6;4497;Bag;3109
Detroit;Coloring Agent14;211597;S4;F6;4497;Box;1388
Detroit;Coloring Agent14;211597;S4;F9;1700;Box;1700
Detroit;Coloring Agent14;211597;S5;F1;5648;Bag;5648
Detroit;Coloring Agent14;211597;S5;F10;1771;Bag;1771
Detroit;Coloring Agent14;211597;S5;F11;4991;Bag;3256
Detroit;Coloring Agent14;211597;S5;F11;4991;Box;1735
Detroit;Coloring Agent14;211597;S5;F3;1544;Bag;1544
Detroit;Coloring Agent14;211597;S5;F5;5001;Bag;3419
Detroit;Coloring Agent14;211597;S5;F5;5001;Box;1582
Detroit;Coloring Agent14;211597;S5;F6;2517;Bag;1536
Detroit;Coloring Agent14;211597;S5;F6;2517;Box;981
Detroit;Coloring Agent14;211597;S5;F8;1515;Bag;1515
Detroit;Coloring Agent15;213764;S1;F1;16876;Bag;15699
Detroit;Coloring Agent15;213764;S1;F1;16876;Box;1177
Detroit;Coloring Agent15;213764;S1;F11;7171;Bag;7171
Detroit;Coloring Agent15;213764;S1;F12;1230;Box;1230
Detroit;Coloring Agent15;213764;S1;F2;7729;Bag;7729
Detroit;Coloring Agent15;213764;S1;F3;6953;Bag;6189
Detroit;Coloring Agent15;213764;S1;F3;6953;Box;764
Detroit;Coloring Agent15;213764;S1;F4;13473;Bag;13473
Detroit;Coloring Agent15;213764;S1;F5;9187;Bag;7595
Detroit;Coloring Agent15;213764;S1;F5;9187;Box;1592
Detroit;Coloring Agent15;213764;S1;F6;2774;Bag;2774
Detroit;Coloring Agent15;213764;S1;F9;11527;Bag;10192
Detroit;Coloring Agent15;213764;S1;F9;11527;Box;1335
Detroit;Coloring Agent15;213764;S2;F1;3346;Bag;3346
Detroit;Coloring Agent15;213764;S2;F10;3409;Bag;3409
Detroit;Coloring Agent15;213764;S2;F11;3303;Bag;3303
Detroit;Coloring Agent15;213764;S2;F2;3304;Box;3304
Detroit;Coloring Agent15;213764;S2;F4;1856;Bag;1856
Detroit;Coloring Agent15;213764;S2;F6;1678;Bag;1678
Detroit;Coloring Agent15;213764;S2;F7;1868;Box;1868
Detroit;Coloring Agent15;213764;S2;F8;283;Box;283
Detroit;Coloring Agent15;213764;S2;F9;1736;Bag;1736
Detroit;Coloring Agent15;213764;S3;F1;15535;Bag;15535
Detroit;Coloring Agent15;213764;S3;F10;1730;Bag;1730
Detroit;Coloring Agent15;213764;S3;F12;4311;Bag;2966
Detroit;Coloring Agent15;213764;S3;F12;4311;Box;1345
Detroit;Coloring Agent15;213764;S3;F2;1543;Bag;1543
Detroit;Coloring Agent15;213764;S3;F3;12392;Bag;9775
Detroit;Coloring Agent15;213764;S3;F3;12392;Box;2617
Detroit;Coloring Agent15;213764;S3;F4;7063;Bag;7063
Detroit;Coloring Agent15;213764;S3;F5;8751;Bag;7473
Detroit;Coloring Agent15;213764;S3;F5;8751;Box;1278
Detroit;Coloring Agent15;213764;S3;F7;1370;Box;1370
Detroit;Coloring Agent15;213764;S3;F8;1403;Bag;1403
Detroit;Coloring Agent15;213764;S3;F9;10157;Bag;10157
Detroit;Coloring Agent15;213764;S4;F1;1862;Bag;1862
Detroit;Coloring Agent15;213764;S4;F10;1644;Bag;1644
Detroit;Coloring Agent15;213764;S4;F11;1738;Bag;1738
Detroit;Coloring Agent15;213764;S4;F12;1413;Bag;1413
Detroit;Coloring Agent15;213764;S4;F2;1358;Bag;1358
Detroit;Coloring Agent15;213764;S4;F3;3328;Bag;1748
Detroit;Coloring Agent15;213764;S4;F3;3328;Box;1580
Detroit;Coloring Agent15;213764;S4;F4;1627;Bag;1627
Detroit;Coloring Agent15;213764;S4;F5;1753;Bag;1753
Detroit;Coloring Agent15;213764;S4;F6;1624;Bag;1624
Detroit;Coloring Agent15;213764;S4;F9;4436;Bag;3114
Detroit;Coloring Agent15;213764;S4;F9;4436;Box;1322
Detroit;Coloring Agent15;213764;S5;F1;7208;Bag;5296
Detroit;Coloring Agent15;213764;S5;F1;7208;Box;1912
